sample_name	flow_rate	nutrient_addition	upstream_downstream	tank	connected_tank	time	marker	replicate	water_filtered	concentration	SampleType
B4_T5_R2	40	200	Up	B4	B8	T5	COI	R2	250	50.2	sample
B5_T5_R2	40	0	Down	B5	B1	T5	COI	R2	500	37	sample
B6_T5_R2	10	25	Down	B6	B2	T5	COI	R2	500	23	sample
B7_T5_R2	30	100	Down	B7	B3	T5	COI	R2	250	53.8	sample
B8_T5_R2	40	200	Down	B8	B4	T5	COI	R2	500	47.8	sample
C1_T5_R2	0	0	Up	C1		T5	COI	R2	250	36.6	sample
C2_T5_R2	20	0	Up	C2	C6	T5	COI	R2	500	22.8	sample
C3_T5_R2	40	200	Up	C3	C7	T5	COI	R2	250	58.6	sample
C6_T5_R2	20	0	Down	C6	C2	T5	COI	R2	500	33.6	sample
C7_T5_R2	40	200	Down	C7	C3	T5	COI	R2	125	29.2	sample
D1_T5_R2	20	50	Up	D1	D5	T5	COI	R2	125	32.2	sample
D2_T5_R2	20	200	Up	D2	D6	T5	COI	R2	125	13.1	sample
D4_T5_R2	0	0	Up	D4		T5	COI	R2	500	1	sample
D5_T5_R2	20	50	Down	D5	D1	T5	COI	R2	125	60.8	sample
D6_T5_R2	20	200	Down	D6	D2	T5	COI	R2	125	1.1	sample
E1_T5_R2	30	100	Up	E1	E5	T5	COI	R2	75	18.1	sample
E2_T5_R2	0	200	Up	E2		T5	COI	R2	125	40.2	sample
E3_T5_R2	40	0	Up	E3	E7	T5	COI	R2	500	48	sample
E5_T5_R2	30	100	Down	E5	E1	T5	COI	R2	125	32.2	sample
E7_T5_R2	40	0	Down	E7	E3	T5	COI	R2	500	42.2	sample
F1_T5_R2	40	50	Up	F1	F5	T5	COI	R2	125	22.6	sample
F3_T5_R2	10	100	Up	F3	F7	T5	COI	R2	250	11.4	sample
F5_T5_R2	40	50	Down	F5	F1	T5	COI	R2	125	10.1	sample
F7_T5_R2	10	100	Down	F7	F3	T5	COI	R2	500	41.4	sample
F8_T5_R2	20	200	Down	F8	F4	T5	COI	R2	250	15.9	sample
G1_T5_R2	40	50	Up	G1	G5	T5	COI	R2	125	37.6	sample
G2_T5_R2	10	100	Up	G2	G6	T5	COI	R2	500	39	sample
G3_T5_R2	30	25	Up	G3	G7	T5	COI	R2	500	32.8	sample
G4_T5_R2	30	25	Up	G4	G8	T5	COI	R2	125	14.4	sample
G5_T5_R2	40	50	Down	G5	G1	T5	COI	R2	125	2.32	sample
G6_T5_R2	10	100	Down	G6	G2	T5	COI	R2	500	17.2	sample
G7_T5_R2	30	25	Down	G7	G3	T5	COI	R2	500	25.8	sample
G8_T5_R2	30	25	Down	G8	G4	T5	COI	R2	500	24.2	sample
H1_T5_R2	20	0	Up	H1	H5	T5	COI	R2	500	29	sample
H2_T5_R2	0	200	Up	H2		T5	COI	R2	500	18	sample
H4_T5_R2	20	50	Up	H4	H8	T5	COI	R2	125	26.6	sample
H5_T5_R2	20	0	Down	H5	H1	T5	COI	R2	500	36	sample
H8_T5_R2	20	50	Down	H8	H4	T5	COI	R2	250	12.4	sample
I2_T5_R2	10	25	Up	I2	I6	T5	COI	R2	500	37.4	sample
I5_T5_R2	0	0	Up	I5		T5	COI	R2	200	42	sample
I6_T5_R2	10	25	Down	I6	I2	T5	COI	R2	500	27.6	sample
Resv_T5_R2				Resv		T5	COI	R2	500	39.2	resv
Cont_T5_R2				Cont		T5	COI	R2	500	0	blank
C2_T1_R2	20	0	Up	C2		T1	COI	R2	500	34.6	sample
C3_T1_R2	40	200	Up	C3		T1	COI	R2	500	31	sample
D6_T1_R2	20	200	Down	D6		T1	COI	R2	500	44.6	sample
E2_T1_R2	0	200	Up	E2		T1	COI	R2	500	36.6	sample
F5_T1_R2	40	50	Down	F5		T1	COI	R2	500	62.8	sample
G4_T1_R2	30	25	Up	G4		T1	COI	R2	500	44.8	sample
G6_T1_R2	10	100	Down	G6		T1	COI	R2	500	44.8	sample
G8_T1_R2	30	25	Down	G8		T1	COI	R2	500	41	sample
H8_T1_R2	20	50	Down	H8		T1	COI	R2	500	42.4	sample
Cont_T1_R2				Cont		T1	COI	R2	500	0.2	blank
