sample_name	flow_rate	nutrient_addition	upstream_downstream	tank	connected_tank	time	marker	replicate	water_filtered	concentration	SampleType
G7_T3_R1	30	25	Down	G7	G3	T3	COI	R1	500	39.4	sample
G8_T3_R1	30	25	Down	G8	G4	T3	COI	R1	500	19.1	sample
H1_T3_R1	20	0	Up	H1	H5	T3	COI	R1	500	19.4	sample
H2_T3_R1	0	200	Up	H2		T3	COI	R1	500	10.5	sample
H4_T3_R1	20	50	Up	H4	H8	T3	COI	R1	100	41.2	sample
H5_T3_R1	20	0	Down	H5	H1	T3	COI	R1	500	38.4	sample
H8_T3_R1	20	50	Down	H8	H4	T3	COI	R1	300	21.8	sample
I2_T3_R1	10	25	Up	I2	I6	T3	COI	R1	500	41.8	sample
I5_T3_R1	0	0	Up	I5		T3	COI	R1	500	43.6	sample
I6_T3_R1	10	25	Down	I6	I2	T3	COI	R1	500	53.4	sample
Resv_T3_R1				Resv		T3	COI	R1	500	19.6	resv
Cont_T3_R1				Cont		T3	COI	R1	500	0.424	blank
A4_T4_R1	0	50	Up	A4		T4	COI	R1	250	37.8	sample
B1_T4_R1	40	0	Up	B1	B5	T4	COI	R1	500	12.4	sample
B2_T4_R1	10	25	Up	B2	B6	T4	COI	R1	500	2.62	sample
B3_T4_R1	30	100	Up	B3	B7	T4	COI	R1	250	7.7	sample
B4_T4_R1	40	200	Up	B4	B8	T4	COI	R1	250	23.8	sample
B5_T4_R1	40	0	Down	B5	B1	T4	COI	R1	500	1.99	sample
B6_T4_R1	10	25	Down	B6	B2	T4	COI	R1	500	1.54	sample
B7_T4_R1	30	100	Down	B7	B3	T4	COI	R1	250	8.54	sample
B8_T4_R1	40	200	Down	B8	B4	T4	COI	R1	500	19.3	sample
C1_T4_R1	0	0	Up	C1		T4	COI	R1	125	3.36	sample
C2_T4_R1	20	0	Up	C2	C6	T4	COI	R1	500	23.4	sample
C3_T4_R1	40	200	Up	C3	C7	T4	COI	R1	125	2.98	sample
C6_T4_R1	20	0	Down	C6	C2	T4	COI	R1	500	5.94	sample
C7_T4_R1	40	200	Down	C7	C3	T4	COI	R1	100	5.06	sample
D1_T4_R1	20	50	Up	D1	D5	T4	COI	R1	125	32.8	sample
D2_T4_R1	20	200	Up	D2	D6	T4	COI	R1	100	5.9	sample
D4_T4_R1	0	0	Up	D4		T4	COI	R1	500	4.02	sample
D5_T4_R1	20	50	Down	D5	D1	T4	COI	R1	100	8.76	sample
D6_T4_R1	20	200	Down	D6	D2	T4	COI	R1	250	8.04	sample
E1_T4_R1	30	100	Up	E1	E5	T4	COI	R1	125	14.1	sample
E2_T4_R1	0	200	Up	E2		T4	COI	R1	200	26.4	sample
E3_T4_R1	40	0	Up	E3	E7	T4	COI	R1	500	16.3	sample
E5_T4_R1	30	100	Down	E5	E1	T4	COI	R1	200	41.8	sample
E7_T4_R1	40	0	Down	E7	E3	T4	COI	R1	500	9.58	sample
F1_T4_R1	40	50	Up	F1	F5	T4	COI	R1	100	11.1	sample
F3_T4_R1	10	100	Up	F3	F7	T4	COI	R1	250	29.8	sample
F4_T4_R1	20	200	Up	F4	F8	T4	COI	R1	500	2.58	sample
F5_T4_R1	40	50	Down	F5	F1	T4	COI	R1	250	41.2	sample
F7_T4_R1	10	100	Down	F7	F3	T4	COI	R1	500	8.9	sample
F8_T4_R1	20	200	Down	F8	F4	T4	COI	R1	300	5.06	sample
G1_T4_R1	40	50	Up	G1	G5	T4	COI	R1	150	22.4	sample
G2_T4_R1	10	100	Up	G2	G6	T4	COI	R1	500	18.7	sample
G3_T4_R1	30	25	Up	G3	G7	T4	COI	R1	500	9.08	sample
G4_T4_R1	30	25	Up	G4	G8	T4	COI	R1	125	2.54	sample
G6_T4_R1	10	100	Down	G6	G2	T4	COI	R1	500	15.2	sample
G7_T4_R1	30	25	Down	G7	G3	T4	COI	R1	500	12.4	sample
G8_T4_R1	30	25	Down	G8	G4	T4	COI	R1	500	6.98	sample
H1_T4_R1	20	0	Up	H1	H5	T4	COI	R1	500	10.8	sample
H2_T4_R1	0	200	Up	H2		T4	COI	R1	500	31	sample
