sample_name	flow_rate	nutrient_addition	upstream_downstream	tank	connected_tank	time	marker	replicate	water_filtered	concentration	SampleType
D1_T5_R1	20	50	Up	D1	D5	T5	23S	R1	125	29.6	sample
D2_T5_R1	20	200	Up	D2	D6	T5	23S	R1	125	57.6	sample
D4_T5_R1	0	0	Up	D4		T5	23S	R1	500	43.2	sample
D5_T5_R1	20	50	Down	D5	D1	T5	23S	R1	125	34.2	sample
D6_T5_R1	20	200	Down	D6	D2	T5	23S	R1	125	75	sample
E1_T5_R1	30	100	Up	E1	E5	T5	23S	R1	75	42.6	sample
E2_T5_R1	0	200	Up	E2		T5	23S	R1	125	42.2	sample
E3_T5_R1	40	0	Up	E3	E7	T5	23S	R1	500	45	sample
E5_T5_R1	30	100	Down	E5	E1	T5	23S	R1	125	46.6	sample
E7_T5_R1	40	0	Down	E7	E3	T5	23S	R1	500	38	sample
F1_T5_R1	40	50	Up	F1	F5	T5	23S	R1	125	57.6	sample
F3_T5_R1	10	100	Up	F3	F7	T5	23S	R1	250	57.2	sample
F5_T5_R1	40	50	Down	F5	F1	T5	23S	R1	125	47	sample
F7_T5_R1	10	100	Down	F7	F3	T5	23S	R1	500	57	sample
F8_T5_R1	20	200	Down	F8	F4	T5	23S	R1	250	52.8	sample
G1_T5_R1	40	50	Up	G1	G5	T5	23S	R1	125	45	sample
G2_T5_R1	10	100	Up	G2	G6	T5	23S	R1	500	50.2	sample
G3_T5_R1	30	25	Up	G3	G7	T5	23S	R1	500	39.4	sample
G4_T5_R1	30	25	Up	G4	G8	T5	23S	R1	125	37.6	sample
G5_T5_R1	40	50	Down	G5	G1	T5	23S	R1	125	34.8	sample
G6_T5_R1	10	100	Down	G6	G2	T5	23S	R1	500	36	sample
G7_T5_R1	30	25	Down	G7	G3	T5	23S	R1	500	37	sample
G8_T5_R1	30	25	Down	G8	G4	T5	23S	R1	500	18.1	sample
H1_T5_R1	20	0	Up	H1	H5	T5	23S	R1	500	42.8	sample
H2_T5_R1	0	200	Up	H2		T5	23S	R1	500	37.6	sample
