kingdom	phylum	class	order	family	genus	species	A4_T2_R1	A4_T3_R1	A4_T4_R1	A4_T5_R1	B1_T2_R1	B1_T3_R1	B1_T4_R1	B1_T5_R1	B2_T2_R1	B2_T3_R1	B2_T4_R1	B2_T5_R1	B3_T2_R1	B3_T3_R1	B3_T4_R1	B3_T5_R1	B4_T2_R1	B4_T3_R1	B4_T4_R1	B4_T5_R1	B5_T1_R1	B5_T2_R1	B5_T3_R1	B5_T4_R1	B6_T2_R1	B6_T3_R1	B6_T4_R1	B6_T5_R1	B7_T2_R1	B7_T3_R1	B7_T4_R1	B7_T5_R1	B8_T2_R1	B8_T3_R1	B8_T4_R1	C1_T1_R1	C1_T2_R1	C1_T4_R1	C1_T5_R1	C2_T1_R1	C2_T2_R1	C2_T3_R1	C2_T4_R1	C2_T5_R1	C3_T1_R1	C3_T2_R1	C3_T3_R1	C3_T4_R1	C3_T5_R1	C6_T1_R1	C6_T2_R1	C6_T3_R1	C6_T4_R1	C6_T5_R1	C7_T2_R1	C7_T3_R1	C7_T4_R1	C7_T5_R1	D1_T2_R1	D1_T3_R1	D1_T4_R1	D1_T5_R1	D2_T1_R1	D2_T2_R1	D2_T3_R1	D2_T4_R1	D2_T5_R1	D4_T1_R1	D4_T2_R1	D4_T3_R1	D4_T4_R1	D4_T5_R1	D5_T2_R1	D5_T4_R1	D5_T5_R1	D6_T1_R1	D6_T2_R1	D6_T3_R1	D6_T4_R1	D6_T5_R1	E1_T1_R1	E1_T2_R1	E1_T3_R1	E1_T4_R1	E1_T5_R1	E2_T1_R1	E2_T2_R1	E2_T3_R1	E2_T4_R1	E2_T5_R1	E3_T2_R1	E3_T3_R1	E3_T4_R1	E3_T5_R1	E5_T1_R1	E5_T2_R1	E5_T4_R1	E5_T5_R1	E7_T2_R1	E7_T3_R1	E7_T4_R1	E7_T5_R1	F1_T2_R1	F1_T3_R1	F1_T4_R1	F1_T5_R1	F3_T2_R1	F3_T3_R1	F3_T4_R1	F3_T5_R1	F4_T2_R1	F4_T3_R1	F4_T4_R1	F5_T1_R1	F5_T2_R1	F5_T3_R1	F5_T4_R1	F5_T5_R1	F7_T1_R1	F7_T2_R1	F7_T3_R1	F7_T4_R1	F7_T5_R1	F8_T1_R1	F8_T2_R1	F8_T3_R1	F8_T4_R1	F8_T5_R1	G1_T1_R1	G1_T4_R1	G1_T5_R1	G2_T2_R1	G2_T3_R1	G2_T4_R1	G2_T5_R1	G3_T2_R1	G3_T3_R1	G3_T4_R1	G3_T5_R1	G4_T1_R1	G4_T2_R1	G4_T3_R1	G4_T4_R1	G4_T5_R1	G5_T5_R1	G6_T1_R1	G6_T3_R1	G6_T4_R1	G6_T5_R1	G7_T1_R1	G7_T2_R1	G7_T3_R1	G7_T4_R1	G7_T5_R1	G8_T1_R1	G8_T2_R1	G8_T4_R1	G8_T5_R1	H1_T2_R1	H1_T3_R1	H1_T4_R1	H1_T5_R1	H2_T2_R1	H2_T3_R1	H2_T5_R1	H4_T2_R1	H4_T3_R1	H4_T4_R1	H4_T5_R1	H5_T2_R1	H5_T3_R1	H5_T4_R1	H5_T5_R1	H7_T2_R1	H8_T1_R1	H8_T2_R1	H8_T3_R1	H8_T4_R1	H8_T5_R1	I2_T2_R1	I2_T3_R1	I2_T4_R1	I2_T5_R1	I5_T1_R1	I5_T2_R1	I5_T3_R1	I5_T4_R1	I5_T5_R1	I6_T2_R1	I6_T3_R1	I6_T4_R1	I6_T5_R1	Resv_T2_R1	Resv_T3_R1	Resv_T4_R1	Resv_T5_R1	Cont_T1_R1	Cont_T2_R1	Cont_T3_R1	Cont_T4_R1	Cont_T5_R1	A4_T2_R2	A4_T3_R2	A4_T4_R2	A4_T5_R2	B1_T2_R2	B1_T3_R2	B1_T4_R2	B1_T5_R2	B2_T2_R2	B2_T3_R2	B2_T4_R2	B2_T5_R2	B3_T2_R2	B3_T3_R2	B3_T4_R2	B3_T5_R2	B4_T2_R2	B4_T3_R2	B4_T4_R2	B4_T5_R2	B5_T3_R2	B5_T4_R2	B5_T5_R2	B6_T2_R2	B6_T3_R2	B6_T5_R2	B7_T2_R2	B7_T3_R2	B7_T4_R2	B7_T5_R2	B8_T2_R2	B8_T3_R2	B8_T4_R2	B8_T5_R2	C1_T2_R2	C1_T3_R2	C1_T4_R2	C1_T5_R2	C2_T1_R2	C2_T2_R2	C2_T3_R2	C2_T4_R2	C2_T5_R2	C3_T1_R2	C3_T2_R2	C3_T3_R2	C3_T4_R2	C3_T5_R2	C6_T2_R2	C6_T3_R2	C6_T4_R2	C6_T5_R2	C7_T2_R2	C7_T3_R2	C7_T5_R2	D1_T2_R2	D1_T3_R2	D1_T4_R2	D1_T5_R2	D2_T2_R2	D2_T3_R2	D2_T4_R2	D4_T2_R2	D4_T3_R2	D4_T4_R2	D4_T5_R2	D5_T2_R2	D5_T3_R2	D5_T4_R2	D5_T5_R2	D6_T1_R2	D6_T2_R2	D6_T3_R2	D6_T4_R2	D6_T5_R2	E1_T2_R2	E1_T3_R2	E1_T4_R2	E1_T5_R2	E2_T1_R2	E2_T2_R2	E2_T3_R2	E2_T4_R2	E2_T5_R2	E3_T2_R2	E3_T3_R2	E3_T4_R2	E3_T5_R2	E5_T2_R2	E5_T3_R2	E5_T4_R2	E5_T5_R2	E7_T2_R2	E7_T3_R2	E7_T4_R2	E7_T5_R2	F1_T2_R2	F1_T3_R2	F1_T5_R2	F3_T2_R2	F3_T3_R2	F3_T4_R2	F4_T2_R2	F4_T3_R2	F5_T1_R2	F5_T2_R2	F5_T3_R2	F5_T4_R2	F5_T5_R2	F7_T2_R2	F7_T3_R2	F7_T4_R2	F7_T5_R2	F8_T2_R2	F8_T3_R2	F8_T4_R2	F8_T5_R2	G1_T4_R2	G2_T2_R2	G2_T3_R2	G2_T4_R2	G2_T5_R2	G3_T2_R2	G3_T3_R2	G3_T4_R2	G3_T5_R2	G4_T1_R2	G4_T2_R2	G4_T3_R2	G4_T4_R2	G4_T5_R2	G6_T1_R2	G6_T3_R2	G6_T4_R2	G7_T2_R2	G7_T3_R2	G7_T4_R2	G7_T5_R2	G8_T2_R2	G8_T3_R2	G8_T4_R2	G8_T5_R2	H1_T2_R2	H1_T3_R2	H1_T4_R2	H1_T5_R2	H2_T2_R2	H2_T3_R2	H2_T4_R2	H2_T5_R2	H4_T2_R2	H4_T3_R2	H4_T4_R2	H4_T5_R2	H5_T2_R2	H5_T3_R2	H5_T4_R2	H5_T5_R2	H7_T2_R2	H8_T1_R2	H8_T2_R2	H8_T4_R2	H8_T5_R2	I2_T2_R2	I2_T3_R2	I2_T4_R2	I2_T5_R2	I5_T2_R2	I5_T3_R2	I5_T4_R2	I5_T5_R2	I6_T2_R2	I6_T3_R2	I6_T4_R2	Resv_T2_R2	Resv_T3_R2	Resv_T4_R2	Resv_T5_R2	Cont_T1_R2	Cont_T2_R2	Cont_T3_R2	Cont_T4_R2	Cont_T5_R2
Chromista	Ochrophyta	Eustigmatophyceae	Eustigmatales	Monodopsidaceae	Microchloropsis	Microchloropsis gaditana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	4	0	10	0	0	0	0	0	0	0	17	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	283	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	25	4	0	0	3	0	22	0	0	67	0	0	0	0	0	0	0	99	6	0	0	0	0	0	0	0	0	0	0
Chromista	Ochrophyta	Eustigmatophyceae	Eustigmatales	Monodopsidaceae	Unknown	Unknown	0	0	0	0	0	1	12	18	0	0	0	0	0	0	0	0	0	0	0	0	16	0	41	0	0	0	0	147	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	5	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	143	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	7	0	0	0	14	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	83	0	0	0	8	0	0	0	0	0	0	0	0	0	0	12	12	18	0	0	0	0	0	0	0	0	0	0	0	0	16	1	14	0	0	80	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	10	0	0	0	0	0	4	6	0	62	0	0	0	0	0	0	0	0	0	0	0	20	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	15	0	0	0	0	0	0	0	0	0	0	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	0	0	0	0	0
Chromista	Ochrophyta	Eustigmatophyceae	Eustigmatales	Unknown	Unknown	Unknown	0	0	0	0	0	0	20	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	12	17	0	0	0	0	0	0	23	0	0	0	0	0	0	1	0	0	4	0	24	0	0	0	0	0	0	0	6	33	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	799	729	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	219	0	0	0	0	0	19	60	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	15	0	0	0	0	0	23	0	0	0	0	5	512	74	0	6	24	0	0	0	0	34	0	0	0	0	0	0	0	0	35	85	93	0	39	10	302	6	0	0	0	0	0	0	0	0	0	0	0	124	0	156	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	17	0	100	0	0	0	0	3	0	0	0	0	0	0	6	16	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	13	5	11	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	17	813	190	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	10	128	0	0	0	0	0	11	61	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	1	0	0	0	0	0	0	0	34	0	0	7	300	70	0	0	0	0	0	33	0	23	0	0	0	0	0	0	0	0	0	19	76	38	0	17	0	54	0	0	0	0	0	0	0	0	0	0	103	116	105	0	0	21	0	0	0	0	0	0
Chromista	Ochrophyta	Eustigmatophyceae	Goniochloridales	Goniochloridaceae	Trachydiscus	Trachydiscus minutus	0	0	0	0	0	0	28	13	0	5	16	7	0	0	0	0	0	0	0	0	0	318	314	0	744	0	0	0	961	0	0	0	0	0	0	0	0	0	0	0	0	0	22	8	0	0	0	0	0	4	48	12	17	0	0	0	0	0	10	0	3	0	0	0	0	0	0	0	94	0	2	25	40	697	117	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	22	6	0	494	0	0	11	31	0	0	18	0	4	0	0	0	0	0	0	0	0	0	225	11	0	2	3	10	0	0	0	3	77	0	7	0	11	0	0	2	0	45	0	2	0	23	13	0	35	1	0	1	0	0	0	0	0	12	0	13	0	6	0	48	0	0	0	0	13	0	0	0	0	0	4	0	2	0	17	19	0	827	21	49	443	90	0	0	0	0	0	13	0	0	0	0	1776	1256	6	3	0	0	26	0	374	0	0	0	0	0	0	0	0	0	7	39	0	0	12	5	0	0	21	0	0	0	0	0	0	34	4	0	485	0	0	764	0	0	0	0	3	0	0	0	0	0	0	0	0	0	25	0	0	0	2	0	0	40	0	20	0	0	0	0	12	0	3	0	0	0	0	88	0	3	71	80	3514	344	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	14	0	382	0	0	0	2	77	0	0	0	0	0	0	0	0	0	0	0	229	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	6	0	0	11	17	0	0	0	0	2	71	4	0	52	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	15	13	0	473	54	0	9	0	0	10	0	0	0	0	0	0	29	113	0	5	0	26	5	0	0	0	0	0
Chromista	Ochrophyta	Synurophyceae	Chromulinales	Chromulinaceae	Chromulina	Chromulina sp.	0	0	0	0	3	0	0	707	0	0	0	0	0	0	0	0	0	0	0	0	274	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	146	0	0	0	0	0	10	42	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	128	287	0	0	0	0	0	0	0	21	0	20	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	63	0	56	0	0	0	0	0	0	0	4	0	0	290	0	0	0	0	0	3	0	0	0	0	0	0	5	4	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	4	94	128	0	0	0	0	0	13	44	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	492	0	0	0	0	0	0	0	0	28	0	51	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	91	0	0	0	0	0
Chromista	Ochrophyta	Synurophyceae	Synurales	Mallomonadaceae	Mallomonas	Unknown	0	0	0	0	24	3	453	82	0	0	0	0	0	0	0	0	0	0	0	0	44	4	47	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	31	11	97	27	28	0	0	0	0	0	0	53	73	113	0	0	0	0	0	0	0	0	8	0	0	0	0	23	0	10	0	0	0	0	0	883	0	0	0	0	154	0	0	0	0	2	0	0	0	0	28	22	79	322	0	0	0	0	3	218	192	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	19	0	0	0	0	0	0	6	0	0	0	30	0	0	0	0	0	32	0	0	0	4	7	0	0	0	0	0	0	0	70	0	21	365	0	0	0	0	0	0	0	77	13	87	243	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	109	89	0	328	0	0	0	0	0	0	0	83	36	289	33	0	0	0	0	0	24	0	0	0	0	0	0	106	104	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	49	19	57	30	0	0	0	0	0	89	62	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	79	58	354	0	0	0	0	4	271	111	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	51	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	385	15	21	321	0	0	0	0	0	0	0	0	97	24	36	267	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	13	66	125	0	0	0	0	0
Chromista	Ochrophyta	Synurophyceae	Synurales	Synuraceae	Synura	Synura echinulata	0	0	0	0	0	0	12	14	0	0	0	0	0	0	0	0	0	0	0	0	23	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	274	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	55	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	27	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	364	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	3	8	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	96	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chromista	Ochrophyta	Synurophyceae	Synurales	Synuraceae	Synura	Unknown	0	0	0	0	240	32	1219	1044	9	0	0	0	0	0	0	0	0	0	0	0	280	58	870	704	0	21	0	0	0	0	0	0	0	0	5	0	0	0	0	0	328	249	151	1138	0	0	0	0	0	0	90	417	30	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325	0	0	0	0	0	0	22	0	0	0	175	57	1200	683	0	0	0	0	25	3019	3273	172	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	25	0	0	0	0	0	0	3	22	0	0	2	0	0	0	0	0	0	0	0	0	1	0	71	0	0	0	0	0	0	0	74	91	309	370	0	0	0	24	0	0	0	218	414	33	84	230	0	59	0	0	0	0	0	0	0	0	0	1832	34	3	0	0	0	0	274	16	44	327	0	4355	434	0	0	0	0	0	0	810	285	1489	328	24	0	0	0	0	193	3	0	0	0	0	0	1903	763	1050	0	25	0	0	0	0	0	0	0	0	7	0	0	0	0	0	690	786	134	860	0	0	0	0	0	61	716	19	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	893	251	1032	1086	0	0	0	0	20	3875	3294	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	15	166	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	855	296	476	386	0	0	0	0	7	0	0	0	244	673	79	190	44	0	9	0	0	0	0	0	0	0	9263	32	2	0	0	0	2163	10	61	480	0	0	0	0	0
Chromista	Ochrophyta	Synurophyceae	Synurales	Unknown	Unknown	Unknown	0	0	0	0	372	42	3650	3507	1	59	0	0	0	0	0	0	0	0	0	0	1463	1312	922	1724	0	220	9	0	0	0	0	5	0	0	0	69	0	22373	122	328	1461	143	2724	6369	267	0	0	0	0	2	657	886	1765	5461	0	0	0	0	0	0	0	12	73	0	0	0	0	199	0	181	12607	14412	0	0	7	11713	0	0	0	0	3914	0	0	0	0	348	9	0	0	0	292	53	2046	5458	1001	303	0	0	1685	1415	1875	7698	171	0	12	0	0	0	0	0	0	0	6	57	0	0	0	0	175	0	0	0	0	374	0	0	0	0	10	0	0	0	0	0	0	111	300	0	0	34	0	0	0	0	0	1021	0	0	0	68	87	216	0	0	0	12	0	0	365	29	2609	4067	0	0	0	0	18	0	0	12034	120	1134	3064	0	19	0	165	0	0	0	0	0	10	92	0	0	0	0	0	0	6	4	273	49	354	14849	0	1986	0	0	0	0	0	0	0	715	335	4077	1468	0	57	0	0	0	328	0	0	0	0	0	0	1726	2575	7120	0	266	0	0	0	6	1	0	0	0	0	0	1	18435	9	404	2675	218	3228	14698	252	0	0	0	0	575	296	1195	7322	0	0	0	0	0	0	2	0	0	0	15	379	5949	1932	0	0	0	0	11041	0	0	0	0	0	0	0	0	164	0	0	0	0	659	209	2849	6147	30	0	0	0	1235	1376	2253	10713	0	0	0	0	0	0	0	0	60	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	195	0	4	57	0	0	0	0	984	0	0	0	171	0	0	0	0	0	0	3042	122	3950	5016	0	0	0	0	0	74	0	0	11345	308	1455	6447	19	30	0	0	0	1	0	0	8	0	877	0	0	13	0	0	570	12	409	22095	0	0	0	0	0
Chromista	Ochrophyta	Synurophyceae	Unknown	Unknown	Unknown	Unknown	0	0	13	0	274	28	3351	1887	0	0	0	0	0	0	0	0	0	0	0	0	892	892	1902	770	7	0	0	0	0	0	0	83	0	0	6	190	2221	439	6936	486	580	198	9443	3237	97	0	20	0	0	90	586	23181	10627	1740	0	0	0	0	0	0	0	53	172	0	0	0	0	415	103	309	23	24	0	0	11	1815	0	0	0	0	72	0	0	0	1	188	0	0	0	0	105	25	2296	2588	623	0	0	1	897	2222	1689	739	119	0	0	0	0	0	0	0	0	0	0	54	0	2	0	0	233	0	0	4	0	3374	0	0	0	3	23	0	0	0	0	0	0	0	37	0	5	263	0	0	0	1	1	309	0	0	127	144	40	31	0	14	2401	0	4	0	174	23	3714	2220	0	0	0	2	0	0	0	1415	218	603	4305	1893	1331	77	7	0	62	0	0	2	0	851	2	4	0	0	8	0	0	1	89	0	2799	810	112	687	0	0	0	0	0	0	0	449	387	2664	937	0	0	0	0	0	268	0	27	0	0	0	0	3040	925	2132	0	0	0	0	0	0	26	0	0	6	14	1307	0	1307	1063	320	1102	407	9353	2701	117	0	0	0	0	514	20543	9742	3727	0	0	3	0	0	0	18	0	0	32	53	641	118	84	0	0	0	0	1920	0	0	0	0	0	0	0	0	100	0	0	0	0	275	63	3630	2819	0	0	0	8	909	1971	2395	1222	0	0	4	0	0	35	0	21	50	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	14	11	26	0	17	166	0	0	10	0	355	0	0	0	12	0	0	0	0	0	7	843	100	6348	1654	0	0	1691	3	0	10	0	0	1444	566	864	5902	755	1101	60	0	12	0	0	0	3	27	0	0	0	7	0	0	203	18	3980	968	325	0	0	0	0
Chromista	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	2	29	1053	136	0	0	0	0	32	7	16	256	152	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	53	272	17	0	0	0	13	0	0	0	0	45	0	0	0	0	0	2	0	0	0	5	0	0	0	0	0	0	0	0	20	0	0	1	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	3	9	0	0	0	4	0	0	0	0	384	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	18	0	0	0	1517	3	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	13	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	8	0	0	0	0	231	0	0	0	0	0	0	0	8	0	0	45	0	0	0	0	0	4	0	0	0	0	0	0	5	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	4	13	717	0	0	0	0	0	16	31	169	191	0	0	0	0	0	0	0	0	0	0	0	114	92	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	2	0	0	0	0	0	0	4	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	26	0	0	0	0	0	0	0	0
Eubacteria	Cyanobacteria	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Unknown	91	0	0	0	40	4	116	182	5	393	222	59	0	0	0	0	0	0	0	0	20	872	200	44	5231	1067	0	590	620	56	588	0	0	0	0	10	0	0	0	11	8	136	1512	52	6	0	18	0	5	5	588	31	153	7	0	0	0	0	192	0	14	5	1	0	0	0	5	7	21	0	0	0	1646	608	388	43	18	0	0	0	6	0	0	0	0	3	0	0	0	0	25	30	328	262	8	244	0	0	92	37	155	27	151	12	25	12	0	0	0	0	28	0	589	23	2257	1611	0	4	28	17	3	0	0	54	728	0	146	0	4	0	7	4	0	194	0	2147	60	1270	333	22	770	155	237	358	118	14	23	0	0	37	22	44	384	114	2	267	2882	1629	102	22	289	81	0	0	0	2234	0	4	9	0	269	134	87	825	84	1015	667	580	0	422	35	810	19	275	179	0	0	0	206	1580	1093	396	31	48	1807	235	0	596	0	0	0	48	0	0	0	53	16	330	31	0	435	189	182	0	35	0	0	0	3	0	0	39	163	10	3894	1537	923	446	4	0	0	0	0	0	0	0	0	0	0	6	20	129	1524	191	8	0	10	0	39	776	0	316	16	0	0	0	349	47	0	0	0	0	0	23	0	0	0	1389	262	520	175	29	13	0	0	0	0	2	0	1	0	0	0	0	0	56	55	235	79	188	9	0	0	76	109	34	77	199	44	4	0	0	0	0	3	47	1874	1065	269	69	0	0	0	0	57	0	0	0	12	0	0	0	26	589	178	145	91	174	313	462	476	530	12	0	0	6	256	68	92	302	2936	1161	290	0	16	210	33	0	0	0	0	54	2	0	2	16	297	56	18	395	107	102	482	60	58	593	48	24	453	0	0	0	51	53	459	69	8	1798	102	0	0	0	0	0
